image_name,uncertainty,02_STROMA,04_LYMPHO,06_MUCOSA,07_ADIPOSE,patch_x,patch_y
SS7534_1_1_1062343.svs_num_0,0.0656600158661604,0.00018331453611608595,0.004941386659629643,0.00035586852391134016,0.0005831916258102865,85638,6851
SS7534_1_1_1062343.svs_num_1,0.03514704834669828,0.00012895033942186273,0.0018074811843689532,0.0002259217379105394,0.0003700698177453887,85638,7107
SS7534_1_1_1062343.svs_num_2,0.04704627320170403,0.0004721997887827456,0.0020232600276358426,0.00036405533755896614,0.0004320479101352248,85894,5827
SS7534_1_1_1062343.svs_num_3,0.656798255443573,0.0012841381249018013,0.07407971620559692,0.0011652729619527236,0.002785040152957663,85894,6339
SS7534_1_1_1062343.svs_num_4,0.15626242756843567,0.0005684471645508893,0.01589088262990117,0.0017887366091599688,0.0007881773672124837,85894,6595
SS7534_1_1_1062343.svs_num_5,0.02133996724151075,0.0001325930915754725,0.0006916595259099268,0.00014877700327815547,6.88324716520583e-05,85894,6851
SS7534_1_1_1062343.svs_num_6,0.037840304616838696,0.0003415480226976797,0.0012652247329242527,0.0003731890177732566,0.00036029649954798514,85894,7107
SS7534_1_1_1062343.svs_num_7,0.19768342077732087,0.0008037367690121755,0.016118649393320084,0.0011641006683930754,0.0013811725802952424,86150,6083
SS7534_1_1_1062343.svs_num_8,0.05114292986690998,0.0004827076652873075,0.0032513860729523002,0.000193905302148778,0.0003919354139156894,86150,6339
SS7534_1_1_1062343.svs_num_9,0.03923979252576828,0.00029059873304504436,0.0011773220932809636,0.0002991791410750011,0.0002548468337408849,86150,6595
SS7534_1_1_1062343.svs_num_10,0.08277244567871093,0.0003661941431346349,0.00434716094750911,0.0002851577424735297,0.0011017298676961218,86150,6851
SS7534_1_1_1062343.svs_num_11,0.4418538212776184,0.0012868404213804753,0.04390334375202656,0.0010798736358992756,0.0020731822471134363,86406,6083
SS7534_1_1_1062343.svs_num_12,0.9174105107784272,0.0009026307874592021,0.2176524057984352,0.0012788069376256316,0.0033932784222997724,86662,5315
SS7534_1_1_1062343.svs_num_13,0.0319854442961514,0.00042411568228999385,0.0008622124063549563,0.0008476983464788645,0.0001220743813973968,86662,5571
SS7534_1_1_1062343.svs_num_14,0.02794232489541173,0.00029850030532543317,0.001047174897394143,0.0002120487196407339,0.00036009170937632005,86662,5827
SS7534_1_1_1062343.svs_num_15,0.7693037331104279,0.0019698271178640427,0.7964234113693237,0.0047941278666257855,0.051255824789404866,86662,6083
SS7534_1_1_1062343.svs_num_16,0.07650495916604996,0.00032956755967461504,0.00330363973043859,0.00016642546142975334,0.00041811567989498145,86662,6339
SS7534_1_1_1062343.svs_num_17,0.024595381459221244,0.00013759964658675017,0.0009710303536849096,9.616727866159635e-05,0.00021044359014013025,86662,6595
SS7534_1_1_1062343.svs_num_18,0.054127564281225206,0.00021291408611432417,0.0032755961176007984,0.00041413701983401553,0.00033116774657173666,86918,5315
SS7534_1_1_1062343.svs_num_19,0.023847325425595044,0.000322020142243673,0.0006238003523321822,0.00032075536951197136,0.000281859308734056,86918,5571
SS7534_1_1_1062343.svs_num_20,0.6769898414611817,0.0019713098998181524,0.025889796484261752,0.0006108704226789996,0.0025683824787847698,86918,5827
SS7534_1_1_1062343.svs_num_21,0.16292796656489372,0.000992094883986283,0.010114768333733083,0.0006261275455472059,0.0015411903892527334,86918,6083
SS7534_1_1_1062343.svs_num_22,0.033554491307586434,0.00030714590393472464,0.0010755730443634092,0.0001642535309656523,0.00019883472700712445,86918,6339
SS7534_1_1_1062343.svs_num_23,0.061812623590230945,0.0005343455712136346,0.0032898535719141364,0.0006256721666431986,0.0003635497942013899,86918,6595
SS7534_1_1_1062343.svs_num_24,0.2813989117741585,0.0011702635179972275,0.02438034750521183,0.002918231638614088,0.003200700390152633,87174,5315
SS7534_1_1_1062343.svs_num_25,0.48554484248161317,0.0011131072416901589,0.01923122527077794,0.0005281778176140506,0.0011778304615290835,87174,5571
SS7534_1_1_1062343.svs_num_26,0.16661807373166085,0.0004400685356813483,0.01844158386811614,0.0007654538087081165,0.0006149761669803411,87174,5827
SS7534_1_1_1062343.svs_num_27,0.4808285474777222,0.0021288572053890674,0.011654025781899691,0.000712290000228677,0.0015351355483289807,87174,6083
SS7534_1_1_1062343.svs_num_28,0.052485171146690844,0.0003655330736364704,0.0031802875106222927,0.0003178533632308245,0.00045691145519413114,87174,6339
SS7534_1_1_1062343.svs_num_29,0.08481950238347054,0.0002582224831712665,0.004295134451240301,0.00030851529081701303,0.001145194692799123,87174,6595
SS7534_1_1_1062343.svs_num_30,0.020506086479872464,0.00026877603158936836,0.0008141469486872665,0.00010070993321278365,0.00010981105227472198,87174,7363
SS7534_1_1_1062343.svs_num_31,0.07848019152879715,0.00069935764404363,0.002516097461921163,0.00041671175767987734,0.00022838671773115494,87174,7619
SS7534_1_1_1062343.svs_num_32,0.0406317787244916,0.000357304093267885,0.0010273270119796507,0.00011370414558768971,0.00014027711577000446,87174,7875
SS7534_1_1_1062343.svs_num_33,0.06727523934096098,0.00091459269860934,0.0014774012961424887,0.00029686398593185,0.00021608127044601134,87174,8131
SS7534_1_1_1062343.svs_num_34,0.06387557182461023,0.0009344228485133499,0.00182149950414896,0.0003657354616734665,0.000760615828585287,87174,8387
SS7534_1_1_1062343.svs_num_35,0.10045392513275146,0.0008379727325518616,0.005541912466287613,0.0007194354155217297,0.0005514066235264182,87174,8643
SS7534_1_1_1062343.svs_num_36,0.29479890614748,0.002243198294308968,0.011472288984805346,0.0006197160735609941,0.002120875874243211,87174,8899
SS7534_1_1_1062343.svs_num_37,0.38171268403530123,0.001842483237851411,0.013965172786265611,0.0011910438042832538,0.002628881111741066,87174,9155
SS7534_1_1_1062343.svs_num_38,0.049660350382328036,0.00018770511669572443,0.0013149820355465637,0.00028541636165755333,0.0007758396938697843,87174,9411
SS7534_1_1_1062343.svs_num_39,0.028503607120364906,0.00021714813119615427,0.001970859136781655,0.00011682716794894076,5.538947998502408e-05,87174,9667
SS7534_1_1_1062343.svs_num_40,0.10292492173612118,0.001008559699403122,0.005273701902478933,0.0005878651543753221,0.0011450577301729936,87174,9923
SS7534_1_1_1062343.svs_num_41,0.9404369354248047,0.0022119505098089575,0.2146151468157768,0.0018126392271369696,0.01903419168666005,87174,10179
SS7534_1_1_1062343.svs_num_42,0.13366653099656106,0.0004524881187535357,0.013546232227236032,0.0007273583483765833,0.0005403064329584595,87430,5315
SS7534_1_1_1062343.svs_num_43,0.18774012327194214,0.0012654471327550709,0.008055516192689538,0.0007334039531997405,0.001140373936505057,87430,5571
SS7534_1_1_1062343.svs_num_44,0.03698951499536633,0.00021791890503664035,0.0018443939567077904,0.00013853368982381654,0.0004385646961964085,87430,5827
SS7534_1_1_1062343.svs_num_45,0.10191496945917607,0.0009472393780015409,0.003283723280765116,0.0005990806574118323,0.0012679078321525595,87430,6083
SS7534_1_1_1062343.svs_num_46,0.088310481980443,0.0007019745855359361,0.004896784806624055,0.0005472547694807872,0.0005298089236021042,87430,6339
SS7534_1_1_1062343.svs_num_47,0.0947184793651104,0.00130421669309726,0.0026596235984470695,0.0004711218636657577,0.0005558543743973132,87430,6595
SS7534_1_1_1062343.svs_num_48,0.3431843131780624,0.0013326441461686046,0.017758907936513423,0.0009758495129062794,0.0011676059089950285,87430,6851
SS7534_1_1_1062343.svs_num_49,0.1887114942073822,0.0009298400778789073,0.006218135100789368,0.0007971480721607804,0.0016164245636900887,87430,7107
SS7534_1_1_1062343.svs_num_50,0.7977396011352539,0.0017238138883840294,0.028055611811578274,0.0007334827969316393,0.001957121436134912,87430,7363
SS7534_1_1_1062343.svs_num_51,0.5425933033227921,0.0016030775208491833,0.03827313873916864,0.00017139794908871409,0.0028303739964030683,87430,7619
SS7534_1_1_1062343.svs_num_52,0.29371229112148284,0.0013097475224640221,0.03424391429871321,0.00015208150757644033,0.0015701831624028272,87430,7875
SS7534_1_1_1062343.svs_num_53,0.48624509274959565,0.0024273165268823504,0.06534272357821465,0.0005722411151509732,0.007546320650726556,87430,8131
SS7534_1_1_1062343.svs_num_54,0.6214852392673492,0.0012395085621392354,0.13902428820729257,0.00048645548085914927,0.010125869885087013,87430,8387
SS7534_1_1_1062343.svs_num_55,0.7222060799598694,0.0021798637724714355,0.13496114760637284,0.0006087099580327048,0.009041014895774423,87430,8643
SS7534_1_1_1062343.svs_num_56,0.4617482751607895,0.0016431837226264178,0.027545388229191302,0.0009112026891671121,0.003525712509872392,87430,8899
SS7534_1_1_1062343.svs_num_57,0.09515965431928634,0.0008783019686234184,0.003704943263437599,0.00035702977038454264,0.0005317487644788344,87430,9155
SS7534_1_1_1062343.svs_num_58,0.7648238420486451,0.0025360431638546286,0.08360665738582611,0.0009656110254582017,0.009596164058893918,87430,9411
SS7534_1_1_1062343.svs_num_59,0.10069212503731251,0.0009640703719924204,0.00434691107366234,0.0006537290559208486,0.0005399585912527982,87430,9667
SS7534_1_1_1062343.svs_num_60,0.08862922191619874,0.00042292124999221414,0.005304765817709267,0.00029338978783925994,0.00041257019893237157,87430,9923
SS7534_1_1_1062343.svs_num_61,0.08815598301589489,0.0008848775178194046,0.0036623666295781732,0.0004997342068236322,0.0007352176668064203,87430,10179
SS7534_1_1_1062343.svs_num_62,0.8931302309036255,0.004377868887968361,0.03709058463573456,0.0008372585885808803,0.0017460522023611702,87430,10435
SS7534_1_1_1062343.svs_num_63,0.6659244477748871,0.0019068023073486983,0.015596540924161673,0.0005318134441040457,0.002728231594664976,87430,10691
SS7534_1_1_1062343.svs_num_64,0.09138624593615532,0.00048052009515231475,0.005228265631012618,0.00033902382710948586,0.00043591187422862274,87430,10947
SS7534_1_1_1062343.svs_num_65,1.1353107571601868,0.002706080279313028,0.2790071278810501,0.002738706336822361,0.00600731261074543,87686,5315
SS7534_1_1_1062343.svs_num_66,0.06934192441403866,0.0004172641500190366,0.005724402493797243,0.0006919041959918104,0.0003969519988459069,87686,5571
SS7534_1_1_1062343.svs_num_67,0.1302214279770851,0.0006567372111021541,0.012436513509601354,0.0013647685089381411,0.0007070694475260098,87686,5827
SS7534_1_1_1062343.svs_num_68,0.37616640627384185,0.0010790678206831217,0.02445828663185239,6.64503850202891e-05,0.0005866667990630959,87686,6083
SS7534_1_1_1062343.svs_num_69,0.3377179428935051,0.0015265612018993124,0.04790872484445572,0.000305549527547555,0.008015416515991091,87686,6339
SS7534_1_1_1062343.svs_num_70,0.43166225254535673,0.002316621353384107,0.055970077589154246,0.0006260202149860561,0.00872091338969767,87686,6595
